"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"38","51059421702","Census Tract 4217.02, Fairfax County, Virginia","59302",153,297,818,1268,0.120662460567823,0.234227129337539,0.645110410094637,104789,14906
"39","51059421800","Census Tract 4218, Fairfax County, Virginia","59302",250,859,1141,2250,0.111111111111111,0.381777777777778,0.507111111111111,73168,12200
"40","51059421900","Census Tract 4219, Fairfax County, Virginia","59304",67,391,182,640,0.1046875,0.6109375,0.284375,67368,21989
"41","51059422000","Census Tract 4220, Fairfax County, Virginia","59304",91,307,893,1291,0.0704879938032533,0.237800154918668,0.691711851278079,132692,25480
"42","51059422101","Census Tract 4221.01, Fairfax County, Virginia","59304",315,805,1291,2411,0.130651182082124,0.333886354209871,0.535462463708005,93750,13211
"43","51059422102","Census Tract 4221.02, Fairfax County, Virginia","59304",88,647,1145,1880,0.0468085106382979,0.344148936170213,0.609042553191489,109645,6162
"44","51059422201","Census Tract 4222.01, Fairfax County, Virginia","59304",101,239,862,1202,0.084026622296173,0.198835274542429,0.717138103161398,128021,33246
"45","51059422202","Census Tract 4222.02, Fairfax County, Virginia","59304",272,828,1105,2205,0.123356009070295,0.375510204081633,0.501133786848073,98578,8072
"46","51059422301","Census Tract 4223.01, Fairfax County, Virginia","59302",88,253,910,1251,0.070343725019984,0.202238209432454,0.727418065547562,103571,19673
"47","51059422302","Census Tract 4223.02, Fairfax County, Virginia","59306",170,787,1834,2791,0.0609100680759584,0.281977785739878,0.657112146184163,85259,35755
"48","51059422401","Census Tract 4224.01, Fairfax County, Virginia","59306",47,178,932,1157,0.0406222990492653,0.153846153846154,0.805531547104581,108309,8929
"49","51059422402","Census Tract 4224.02, Fairfax County, Virginia","59306",74,296,1657,2027,0.0365071534287124,0.14602861371485,0.817464232856438,133324,14635
"50","51059422403","Census Tract 4224.03, Fairfax County, Virginia","59302",38,69,813,920,0.041304347826087,0.075,0.883695652173913,185500,27726
"51","51059430101","Census Tract 4301.01, Fairfax County, Virginia","59303",71,98,1274,1443,0.0492030492030492,0.0679140679140679,0.882882882882883,185380,15878
"52","51059430102","Census Tract 4301.02, Fairfax County, Virginia","59303",119,207,632,958,0.124217118997912,0.2160751565762,0.659707724425887,113000,10648
"53","51059430201","Census Tract 4302.01, Fairfax County, Virginia","59303",138,194,1005,1337,0.103216155572177,0.145100972326103,0.75168287210172,142846,16218
"54","51059430202","Census Tract 4302.02, Fairfax County, Virginia","59303",175,199,1262,1636,0.106968215158924,0.121638141809291,0.771393643031785,132262,22491
"55","51059430203","Census Tract 4302.03, Fairfax County, Virginia","59303",85,164,637,886,0.0959367945823928,0.18510158013544,0.718961625282167,151250,31050
"56","51059430400","Census Tract 4304, Fairfax County, Virginia","59306",51,326,1776,2153,0.0236878773803994,0.151416627960985,0.824895494658616,145102,15890
"57","51059430500","Census Tract 4305, Fairfax County, Virginia","59306",11,91,437,539,0.0204081632653061,0.168831168831169,0.810760667903525,132188,12467
"58","51059430600","Census Tract 4306, Fairfax County, Virginia","59306",149,647,977,1773,0.0840383530738861,0.364918217710096,0.551043429216018,90551,25856
"59","51059430700","Census Tract 4307, Fairfax County, Virginia","59306",51,165,604,820,0.0621951219512195,0.201219512195122,0.736585365853659,120341,19950
"60","51059430801","Census Tract 4308.01, Fairfax County, Virginia","59306",62,246,980,1288,0.0481366459627329,0.190993788819876,0.760869565217391,124000,12059
"61","51059430802","Census Tract 4308.02, Fairfax County, Virginia","59306",53,414,1173,1640,0.0323170731707317,0.252439024390244,0.715243902439024,96750,16813
"62","51059430901","Census Tract 4309.01, Fairfax County, Virginia","59306",22,269,1054,1345,0.0163568773234201,0.2,0.78364312267658,122357,10170
"63","51059430902","Census Tract 4309.02, Fairfax County, Virginia","59303",155,151,670,976,0.158811475409836,0.154713114754098,0.686475409836066,130729,17944
